"location","label","date","personnel","songs"
"BET Jazz Central Station TV","[private recording]","ca.  1996","['Marc Cary (p)', 'Michael Bowie (b)', 'Carter Beauford (d)', 'Abbey Lincoln (v)']","['Who Used To Dance', 'Throw It Away', 'I Should Care', 'I Got Thunder (And It Rings)', ""A Turtle's Dream"", 'Down Here Below']"
"","Verve","ca.  1996","['Jesse Davis (as)', 'Ron Blake (ts)', 'Nicholas Payton (t)', 'Roy Hargrove (fh)', 'Mark Whitfield (g)', 'Stephen Scott (p)', 'Christian McBride (b)', 'Billy Drummond (d)', 'Abbey Lincoln (v)']","['Christmas Cheer', 'This Christmas']"
"Clinton Recording Studios, New York City","Verve","April 6 & 7, 1996","['Riley T. Bandy IIISteve ColemanOliver LakeFrank MorganJustin Robinson (as)', 'Graham Haynes (c)', 'Marc CaryRodney Kendrick (p)', 'Michael BowieJohn Ormond (b)', 'Turu AlexanderAlvester Garnett (d)', 'Aaron Walker (dper)', 'Bazzi Bartholomew GrayArthur GreenAbbey Lincoln (v)', 'Savion Glover (dnc)']","['Love Has Gone Away', 'Who Used To Dance', 'Love Lament', 'When Autumn Sings', ""Love What You Doin'"", 'Street Of Dreams', 'I Sing A Song', 'The River']"
"Clinton Recording Studios, New York City","Verve","May 19, 1996","['Julien Lourau (ts)', 'Marc Cary (p)', 'Michael Bowie (b)', 'Aaron Walker (d)', 'Abbey Lincoln (v)']","['Mr. Tambourine Man']"
"Iridium, New York City","[private recording]","June 20, 1996","['Marc Cary (p)', 'Michael Bowie (b)', 'Aaron Walker (d)', 'Abbey Lincoln (v)']","['[unknown titles]']"
"Jazzhus, Copenhagen, Denmark","[radio broadcast]","July 14, 1996","['Marc Cary (p)', 'Michael Bowie (bv)', 'Aaron Walker (d)', 'Abbey Lincoln (v)']","['Bird Alone', 'Throw It Away', 'Nature Boy', 'I Got Thunder (And It Rings)', 'Down Here Below', 'Hey, Lordy Mama', 'I Should Care', 'Mr. Tambourine Man', ""Should've Been"", 'Jitterbug Waltz', ""I'll Be Seeing You"", 'The Nearness Of You']"
"Schomburg Center For Research In Black Culture, New York City","[private recording]","September 18, 1996","['Abbey Lincoln (spk)']","['[unknown title]']"
"Iridium, New York City","[private recording]","October 8, 1996","['Marc Cary (p)', 'Michael Bowie (b)', 'Aaron Walker (d)', 'Abbey Lincoln (v)']","['[unknown titles]']"
"Iridium, New York City","[private recording]","October 9, 1996","['Marc Cary (p)', 'Michael Bowie (b)', 'Aaron Walker (d)', 'Abbey Lincoln (v)']","['[unknown titles]']"
"Iridium, New York City","[private recording]","October 12, 1996","['Marc Cary (p)', 'Michael Bowie (b)', 'Aaron Walker (d)', 'Abbey Lincoln (v)']","['[unknown titles]']"
"Cleveland Museum Of Art, Cleveland, OH","[radio broadcast]","March 14, 1997","['Marc Cary (p)', 'Michael Bowie (b)', 'Aaron Walker (d)', 'Abbey Lincoln (v)']","['[unknown titles]']"
"Iridium, New York City","[private recording]","June 21, 1997","['Marc Cary (p)', 'Steve Kirby (b)', 'Aaron Walker (d)', 'Abbey Lincoln (v)']","['Bird Alone', 'Throw It Away', 'Down Here Below', 'Hey, Lordy Mama', 'I Got Thunder (And It Rings)', ""Love What You Doin'"", 'I Should Care', 'Mr. Tambourine Man']"
"Antwerp, Belgium","BMG","August 15-17, 1997","['Mal Waldron (p)', 'Reggie Workman (b)', 'Andrew Cyrille (d)', 'Abbey Lincoln (v)']","['Straight Ahead', 'God Bless The Child']"
"Avatar Studios, New York City","Verve","June 3-5, 1998","['Nicholas Payton (tfh)', 'Bobby Hutcherson (vibmar)', 'Marc CaryJames Hurt (p)', 'Michael BowieJohn Ormond (b)', 'Alvester Garnett (d)', 'Daniel Moreno (per)', 'Maggie BrownAbbey Lincoln (v)']","[""And It's Supposed To Be Love"", 'Midnight Sun', 'Wholly Earth', 'Look To The Star', 'Another World', 'Conversation With A Baby', 'If I Only Had A Brain', 'Another Time, Another Place', 'Caged Bird', 'Learning How To Listen']"
"Kampo Audio/Video, New York City","Grapeshot","July 23 & 24, 1998","['Jacques Schwartz Bart (ts)', 'Rossen Zahariev (fh)', 'Steve Kuhn (p)', 'Chris Wood (b)', 'Bob Moses (d)', 'Abbey Lincoln (v)']","['How Deep Is The Ocean']"
"Fabrik, Hamburg, Germany","[private recording]","April 24, 1999","['Marc Cary (p)', 'John Ormond (b)', 'Rodney Green (d)', 'Abbey Lincoln (v)']","['Another World', ""And It's Supposed To Be Love"", 'Midnight Sun', 'Wholly Earth', 'Hey, Lordy Mama', 'I Should Care', 'Down Here Below']"
"Oosterpoort, Gröningen, Netherlands","[radio broadcast]","October 30, 1999","['Marc Cary (p)', 'John Ormond (b)', 'Jaz Sawyer (d)', 'Abbey Lincoln (v)']","['Throw It Away', 'Down Here Below', 'Conversation With A Baby', 'Mr. Tambourine Man', ""I'll Be Seeing You""]"
"Right Track Studio, New York City","Verve","ca.  February 18, 2000","['Joe Lovano (ts)', 'Jerry Gonzalez (t)', 'Kendra Shank (g)', 'Brandon McCune (p)', 'John Ormond (b)', 'Jaz Sawyer (d)', 'Jennifer Vincent (vc)', 'Abbey Lincoln (v)']","['When The Lights Go On Again', 'Blackberry Blossoms', 'Somos Novios (Imposible)', 'A Heart Is Not A Toy', 'I Could Sing It For A Song', ""I'm Not Supposed To Know"", 'The Windmills Of Your Mind', 'Lucky To Be Me', 'What Will Tomorrow Bring']"
"BMG Studios, New York City","Verve","April 23, 2000","['Abbey Lincoln (v)']","['Tender As A Rose']"
"Ford Detroit International Jazz Festival, Detroit, MI","[radio broadcast]","ca.  September 2000","['Brandon McCune (p)', 'John Ormond (b)', 'Jaz Sawyer (d)', 'Abbey Lincoln (v)']","['Throw It Away', 'Midnight Sun', 'Wholly Earth', 'Mr. Tambourine Man']"
"St. Peter's Church, New York City","[private recording]","November 26, 2000","['Frank Owens (p)', 'Abbey Lincoln (v)']","['[unknown title]']"
